built_year,num_beds,num_baths,lat,lng,size_sqft,tenure_group,subzone_per_price_encoded,property_type_ordinal,dist_to_nearest_important_mrt_rounded,number_of_nearby_primary_schools,number_of_nearby_secondary_schools,number_of_nearby_shopping_malls,name_of_nearest_BN_ordinal,name_of_nearest_CR_ordinal,price,per_price
1988.0,3.0,2.0,1.41439935,103.8371957,1115.0,0,602.3662443381116,1,5,3,3,0,4,2,514500,461.43497757847535
1992.0,4.0,2.0,1.3725968,103.8756246,1575.0,1,719.8249080620692,1,2,3,4,0,5,2,995400,632.0
2022.0,4.0,6.0,1.2987726,103.895798,3070.0,3,2427.3105155897542,3,2,1,1,0,6,5,8485000,2763.843648208469
2023.0,3.0,2.0,1.3123637,103.8032709,958.0,3,2864.4803181782245,3,1,0,0,0,7,5,2626000,2741.1273486430064
2026.0,2.0,1.0,1.2739587,103.8436353,732.0,1,2840.8427429556777,3,0,1,0,0,8,5,1764000,2409.8360655737706
2024.0,2.0,2.0,1.3393381,103.7638932,689.0,3,1781.655488834343,3,2,1,0,0,7,4,1702000,2470.2467343976778
2026.0,3.0,2.0,1.31064045,103.8521493,1076.0,1,1967.13103432837,3,0,2,0,0,9,5,2475900,2301.022304832714
2001.0,5.0,6.0,1.3423402,103.784489,11500.0,2,2025.443375737397,8,3,0,0,0,7,4,15645000,1360.4347826086955
2014.0,1.0,1.0,1.3155347,103.8256844,700.0,3,3097.817490665313,3,1,0,2,0,9,5,1312500,1875.0
2025.0,2.0,1.0,1.310429,103.802821,570.0,3,2774.5538535092774,3,1,0,1,0,7,5,1802500,3162.280701754386
1985.0,2.0,2.0,1.3221528,103.9452226,1733.0,1,1222.6839629297308,3,1,2,4,0,3,3,2205000,1272.3600692440857
2023.0,2.0,1.0,1.32970335,103.9056829,646.0,3,1343.4665706558424,3,1,3,1,0,6,3,1365000,2113.003095975232
2024.0,1.0,1.0,1.3393381,103.7638932,474.0,3,1781.655488834343,3,2,1,0,0,7,4,1008000,2126.5822784810125
2004.0,3.0,3.0,1.36432355,103.8316683,1227.0,1,1742.5461971398502,3,0,0,2,0,4,2,2079000,1694.3765281173594
2024.0,2.0,1.0,1.29988105,103.8881143,850.0,1,2427.3105155897542,3,2,0,3,0,6,5,2080000,2447.058823529412
1992.0,3.0,2.0,1.3816301,103.7421019,1119.0,0,513.4583200446119,1,2,2,2,0,7,4,554400,495.44235924932974
1981.0,3.0,2.0,1.328739,103.8445337,980.0,1,1403.612999786757,1,1,2,1,1,2,5,554400,565.7142857142857
2009.0,1.0,1.0,1.3129331,103.8568697,517.0,3,1917.4476785184247,3,0,2,0,1,9,5,800100,1547.5822050290135
2017.0,4.0,7.0,1.277361,103.8493377,6200.0,1,2631.7376921087894,3,0,0,0,0,9,5,19740000,3183.870967741936
1980.0,1.0,1.0,1.3737939,103.8490139,470.0,1,679.2215838560895,1,1,5,4,2,4,2,309800,659.1489361702128
2023.0,4.0,4.0,1.304855,103.7737763,1496.0,1,2055.5379118313936,3,1,0,5,0,7,4,2730000,1824.866310160428
1996.0,5.0,5.0,1.3642682,103.9675891,2700.0,1,1257.0985001431434,4,3,1,0,0,3,3,2079000,770.0
1995.0,4.0,2.0,1.2943763,103.8044831,1625.0,1,1540.6832550914592,1,2,2,2,0,8,5,1134000,697.8461538461538
2001.0,5.0,6.0,1.32201645,103.8364503,7829.0,0,2150.79581715461,4,1,2,3,0,9,5,11025000,1408.2258270532634
1996.0,3.0,2.0,1.3346024,103.9083972,1560.0,1,1343.4665706558424,1,0,1,0,0,6,3,934500,599.0384615384615
2007.0,1.0,1.0,1.2946685,103.8500737,657.0,1,1950.1070394507008,3,0,1,1,1,9,5,1365000,2077.625570776256
2025.0,4.0,5.0,1.30062,103.892783,4716.0,3,2427.3105155897542,7,2,1,4,0,6,5,8059800,1709.0330788804072
1985.0,2.0,2.0,1.35539535,103.9532214,721.0,0,768.58368239282,1,2,4,4,0,3,3,388500,538.8349514563107
2010.0,3.0,2.0,1.30668715,103.8361813,1561.0,3,3024.5175692729936,3,1,0,0,2,9,5,3832500,2455.156950672646
2017.0,2.0,2.0,1.277361,103.8493377,1098.0,1,2631.7376921087894,3,0,0,0,0,9,5,2719500,2476.775956284153
2023.0,3.0,3.0,1.3164867,103.8574675,1130.0,3,1917.4476785184247,3,0,2,1,0,9,5,2671200,2363.8938053097345
2020.0,2.0,2.0,1.3129422,103.8415523,872.0,3,2678.315035114304,3,0,2,1,0,9,5,2380400,2729.816513761468
1980.0,4.0,4.0,1.3196642,103.923766,1392.0,3,1663.0790001739826,4,2,2,1,0,6,3,4830000,3469.8275862068967
2024.0,3.0,3.0,1.3087662,103.8090654,1281.0,3,2821.071143374919,3,1,0,0,0,7,5,3245400,2533.4894613583137
2023.0,3.0,2.0,1.3087662,103.8090654,1130.0,3,2821.071143374919,3,1,0,0,0,7,5,3032400,2683.539823008849
2017.0,3.0,2.0,1.4241899,103.8449321,1001.0,1,1049.6741731192612,1,6,3,2,0,4,2,581700,581.1188811188811
2023.0,1.0,1.0,1.30010805,103.8466745,452.0,1,2776.290163665649,3,0,1,1,2,9,5,1342300,2969.690265486726
2022.0,4.0,4.0,1.3443339,103.8786904,1765.0,3,2196.755238470376,3,1,3,5,0,5,5,3360000,1903.6827195467424
2023.0,1.0,1.0,1.3031066,103.8329325,646.0,1,2974.704837567128,3,1,0,0,4,9,5,1412200,2186.0681114551085
2025.0,4.0,3.0,1.3116278,103.7938855,2088.0,1,2272.484410034913,3,0,0,0,1,7,4,7350000,3520.114942528736
2012.0,3.0,2.0,1.3870525,103.7722878,1000.0,1,515.5532816449509,1,3,4,2,0,7,1,577500,577.5
1985.0,2.0,2.0,1.3557437,103.8713719,721.0,0,1433.0179273921692,1,1,3,2,0,5,2,435800,604.4382801664356
1996.0,4.0,2.0,1.35451645,103.9613821,1270.0,0,768.58368239282,1,2,1,3,0,3,3,661500,520.8661417322835
2025.0,2.0,1.0,1.3765249,103.7573796,657.0,1,1401.41309358928,3,3,3,2,0,7,4,892500,1358.447488584475
2000.0,5.0,7.0,1.3444213,103.8376946,4350.0,3,1742.5461971398502,7,1,1,2,0,4,5,12075000,2775.862068965517
2015.0,3.0,3.0,1.31525305,103.8033535,1453.0,1,2864.4803181782245,3,1,1,1,0,7,5,2887500,1987.2677219545767
2000.0,3.0,2.0,1.3359167,103.9369444,1130.0,1,818.5573020204936,1,1,4,3,0,6,3,648900,574.2477876106195
2001.0,5.0,6.0,1.4405369,103.8260767,5230.0,0,1448.2728418366185,7,4,1,1,1,1,1,6667500,1274.8565965583175
2018.0,3.0,2.0,1.4471173,103.8141757,1001.0,1,829.8773838209655,1,3,3,2,0,1,1,609000,608.3916083916084
2013.0,5.0,6.0,1.3870489,103.872999,5000.0,3,1427.084085388165,7,2,2,1,0,5,2,7119000,1423.8
2025.0,4.0,3.0,1.3136277,103.8831086,1313.0,3,1340.1502340551028,3,1,2,2,0,6,5,2274800,1732.5209444021325
1984.0,3.0,2.0,1.3499487,103.9499461,1119.0,0,768.58368239282,1,1,4,3,0,3,3,617400,551.7426273458445
