listing_id,num_beds,num_baths,lat,lng,property_type_apartment,property_type_bungalow,property_type_cluster_house,property_type_condo,property_type_conservation_house,property_type_corner_terrace,property_type_executive_condo,property_type_hdb,property_type_land_only,property_type_landed,property_type_semi_detached_house,property_type_shophouse,property_type_terraced_house,property_type_townhouse,property_type_walk_up,tenure_nan,tenure_freehold,tenure_99-110_year,tenure_999+year,size_sqft,dist_to_nearest_important_mrt_rounded,price,built_year,property_type,tenure
122881,3.0,2.0,1.41439935,103.8371957,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1115.0,5,514500,1988.0,hdb,
259374,4.0,2.0,1.3725968,103.8756246,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1575.0,2,995400,1992.0,hdb,99-year leasehold
665422,4.0,6.0,1.2987726,103.895798,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3070.0,2,8485000,2022.0,condo,freehold
857699,3.0,2.0,1.3123637,103.8032709,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,958.0,1,2626000,2023.0,condo,freehold
216061,2.0,1.0,1.2739587,103.8436353,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,732.0,0,1764000,2026.0,condo,99-year leasehold
625939,2.0,2.0,1.3393381,103.7638932,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,689.0,2,1702000,2024.0,condo,freehold
816508,3.0,2.0,1.31064045,103.8521493,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1076.0,0,2475900,2026.0,condo,99-year leasehold
483990,5.0,6.0,1.3423402,103.784489,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11500.0,3,15645000,,bungalow,999-year leasehold
904428,1.0,1.0,1.3155347,103.8256844,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,700.0,1,1312500,2014.0,condo,freehold
755024,2.0,1.0,1.310429,103.802821,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570.0,1,1802500,2025.0,condo,freehold
397777,2.0,2.0,1.3221528,103.9452226,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1733.0,1,2205000,1985.0,condo,99-year leasehold
336367,2.0,1.0,1.32970335,103.9056829,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,646.0,1,1365000,2023.0,condo,freehold
789722,1.0,1.0,1.3393381,103.7638932,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,474.0,2,1008000,2024.0,condo,freehold
548202,3.0,3.0,1.36432355,103.8316683,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1227.0,0,2079000,2004.0,condo,99-year leasehold
747463,2.0,1.0,1.29988105,103.8881143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,850.0,2,2080000,2024.0,condo,99-year leasehold
105693,3.0,2.0,1.3816301,103.7421019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1119.0,2,554400,1992.0,hdb,
751626,3.0,2.0,1.328739,103.8445337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,980.0,1,554400,1981.0,hdb,99-year leasehold
346016,1.0,1.0,1.3129331,103.8568697,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,517.0,0,800100,2009.0,condo,freehold
929136,4.0,7.0,1.277361,103.8493377,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6200.0,0,19740000,2017.0,condo,99-year leasehold
284659,1.0,1.0,1.3737939,103.8490139,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,470.0,1,309800,1980.0,hdb,99-year leasehold
